periode_data,type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
202101,PUSKESMAS PANCORAN,JAKARTA,null,null
202101,PUSKESMAS CILANDAK,JAKARTA,null,null
202101,PUSKESMAS TEBET,JAKARTA,null,null
202101,PUSKESMAS KUNINGAN  BARAT,JAKARTA,null,null
202101,PUSKESMAS KEBAYORAN BARU,JAKARTA,null,null
202101,PUSKESMAS KEBAYORAN LAMA,JAKARTA,null,null
202101,SUDINKES JAKARTA SELATAN,JAKARTA,null,null
202101,RSUP PERSAHABATAN,JAKARTA,20,402
202101,RSUP PERSAHABATAN,BOGOR,39,620
202101,RSUP PERSAHABATAN,DEPOK,20,331
202101,RSUP PERSAHABATAN,TANGERANG,null,null
202101,RSUP PERSAHABATAN,BEKASI,49,1562
202101,RS JANTUNG HARAPAN KITA,BOGOR,28,526
202101,RS JANTUNG HARAPAN KITA,TANGERANG,null,null
202101,RS JANTUNG HARAPAN KITA,BEKASI,20,748
202101,RSPI SULIANTI SAROSO,JAKARTA,91,4378
202101,Puskesmas Kepulauan Seribu,RS Wisma Atlet,1,19
202101,Puskesmas Ciracas,RS Wisma Atlet,1,12
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,8
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,6
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,12
202101,Puskesmas Pasar Minggu,RS Wisma Atlet,1,9
202101,Puskesmas Makasar,RS Wisma Atlet,1,18
202101,Puskesmas Cipayung,RS Wisma Atlet,1,11
202101,Puskesmas Kramat Jati,RS Wisma Atlet,1,8
202101,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,11
202101,Puskesmas Rawabadak Selatan Tahap II ,RS Wisma Atlet,1,27
202101,Puskesmas Ciracas,RS Wisma Atlet,1,26
202101,Puskesmas Pasar Minggu,RS Wisma Atlet,1,12
202101,Puskesmas Pancoran,RS Wisma Atlet,1,13
202101,Puskesmas Makasar,RS Wisma Atlet,1,20
202101,Puskesmas Palmerah,RS Wisma Atlet,1,21
202101,Puskesmas Cipayung,RS Wisma Atlet,1,7
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,8
202101,Puskesmas Tanah Abang,RS Wisma Atlet,1,5
202101,Puskesmas Ciracas,RS Wisma Atlet,1,34
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,7
202101,Puskesmas Cempaka Putih,RS Wisma Atlet,1,9
202101,Puskesmas Kramat Jati,RS Wisma Atlet,1,9
202101,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,9
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,7
202101,Puskesmas Papanggo,RS Wisma Atlet,1,8
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,8
202101,Puskesmas Grogol Petamburan,RS Wisma Atlet,1,9
202101,Puskesmas Ciracas,RS Wisma Atlet,1,30
202101,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,7
202101,Puskesmas Tanah Abang,RS Wisma Atlet,1,10
202101,Puskesmas Pasar Minggu,RS Wisma Atlet,1,12
202101,Puskesmas Kebayoran Lama Tahap I  ,RS Wisma Atlet,1,5
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,7
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,14
202101,Puskesmas Jatinegara,RS Wisma Atlet,1,9
202101,Puskesmas Kemayoran,RS Wisma Atlet,1,14
202101,Puskesmas Makasar,RS Wisma Atlet,1,12
202101,Puskesmas Pancoran,RS Wisma Atlet,1,11
202101,Puskesmas Jagakarsa Tahap II,RS Wisma Atlet,1,14
202101,Puskesmas Pulogadung,RS Wisma Atlet,1,7
202101,Puskesmas Kebayoran Lama Tahap II,RS Wisma Atlet,1,5
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,6
202101,Puskesmas Pasar Minggu,RS Wisma Atlet,1,15
202101,Puskesmas Jatinegara,RS Wisma Atlet,1,20
202101,Puskesmas Makasar,RS Wisma Atlet,1,15
202101,Puskesmas Ciracas,RS Wisma Atlet,1,35
202101,Puskesmas Duren Sawit Tahap II,RS Wisma Atlet,1,5
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,10
202101,Puskesmas Cipayung,RS Wisma Atlet,1,11
202101,Puskesmas Ciracas,RS Wisma Atlet,1,9
202101,Puskesmas Kramat Jati,RS Wisma Atlet,1,6
202101,Puskesmas Cakung,RS Wisma Atlet,1,15
202101,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,7
202101,Puskesmas Kramat Jati,RS Wisma Atlet,1,6
202101,Puskesmas Cipayung,RS Wisma Atlet,1,12
202101,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,13
202101,Puskesmas Duren Sawit,RS Wisma Atlet,1,7
202101,Puskesmas Jatinegara,RS Wisma Atlet,1,7
202101,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,12
202101,Puskesmas Pasar Minggu Tahap I,RS Wisma Atlet,1,10
202101,Puskesmas Pancoran,RS Wisma Atlet,1,10
202101,Puskesmas Ciracas Tahap I,RS Wisma Atlet,1,11
202101,Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,8
202101,Puskesmas Rawabadak Selatan Tahap III,RS Wisma Atlet,1,6
202101,Puskesmas Jagakarsa,RS Wisma Atlet,1,8
202101,Puskesmas Pasar Minggu Tahap II,RS Wisma Atlet,1,7
